feature_block,test_year,n_common,mse_joint,mse_sep,delta_mse,mae_joint,mae_sep,delta_mae,mse_trim_joint,mse_trim_sep,delta_mse_trim,trim_q
F1,2011,29537,0.0005767399692546067,0.000580454498281002,-3.7145290263952127e-06,0.015528317164154152,0.015611922275364917,-8.360511121076504e-05,0.0004213939303644506,0.00042492777128523443,-3.533840920783807e-06,0.01
F1,2012,30083,0.0003461334679706937,0.00034728641134068263,-1.1529433699889293e-06,0.012183432331396784,0.012173281737020723,1.0150594376060959e-05,0.0002550465568269131,0.0002547382059179132,3.0835090899990767e-07,0.01
F1,2013,30564,0.00032254628826580613,0.0003223509617724948,1.9532649331131672e-07,0.011348679735411565,0.011326159194634196,2.2520540777368897e-05,0.00021278533361966995,0.00021192623987954096,8.590937401289943e-07,0.01
F1,2014,31997,0.0005190058792541892,0.0005193821907549095,-3.7631150072024895e-07,0.01158860052630094,0.01160323967870893,-1.463915240799106e-05,0.00021497555632819812,0.00021531027414354329,-3.3471781534516877e-07,0.01
F1,2015,31877,0.0005073348199462849,0.0005082523313584826,-9.175114121976564e-07,0.012855681810313846,0.0128580057397494,-2.323929435553082e-06,0.0002671329871168961,0.0002681521319293272,-1.0191448124310877e-06,0.01
F1,2016,32653,0.0003859805299900954,0.00038635214939267295,-3.716194025775552e-07,0.012535280083652164,0.012549628437456717,-1.434835380455246e-05,0.00026260482556807283,0.00026305814715593705,-4.533215878642252e-07,0.01
F1,2017,32204,0.0002776854229726467,0.00027766454196053705,2.0881012109663904e-08,0.010141930916427514,0.010129842280481879,1.208863594563507e-05,0.00017074947288236487,0.0001701339026109139,6.155702714509721e-07,0.01
F1,2018,32411,0.00042705502156941045,0.0004280973762638095,-1.0423546943990497e-06,0.013162955876232164,0.013171401548841099,-8.445672608934848e-06,0.00028838902525862663,0.00028936474222064385,-9.757169620172178e-07,0.01
F1,2019,32037,0.0004421485366316059,0.0004469608650458216,-4.81232841421567e-06,0.012479342591805744,0.012532791827443802,-5.344923563805823e-05,0.00025723615615252216,0.0002593586628273346,-2.1225066748124214e-06,0.01
F1,2020,31996,0.0007719250524118328,0.0007732051228594187,-1.2800704475859036e-06,0.0175142763634005,0.01751583173973825,-1.5553763377494645e-06,0.0005305125046273222,0.0005318226915858925,-1.3101869585703963e-06,0.01
F1,2021,32004,0.00033952825055618514,0.0003382514997813707,1.276750774814421e-06,0.012388569369641864,0.012323006568309664,6.556280133220016e-05,0.00024490750643590785,0.00024332357951269525,1.5839269232125982e-06,0.01
F1,2022,31704,0.0005889743838271388,0.0005901176284149616,-1.143244587822759e-06,0.01638172840246785,0.016407161383805553,-2.5432981337704386e-05,0.0004301470156638709,0.0004310237253198175,-8.767096559466063e-07,0.01
F1,2023,30704,0.0005139578838263718,0.000513922661625508,3.52222008638374e-08,0.013474124088687645,0.013479559861112779,-5.435772425134086e-06,0.00030157028119925824,0.0003019681995060616,-3.979183068033372e-07,0.01
F1,2024,29666,0.0012135964224445613,0.0012111845757665038,2.411846678057432e-06,0.013955031266091865,0.013945386625124232,9.644640967632762e-06,0.00032197474615668135,0.00032162068073843914,3.54065418242211e-07,0.01
F1,2025,19228,0.0007045627471434525,0.0007042619385619811,3.0080858147137155e-07,0.014919224349533047,0.014926372496491303,-7.1481469582565516e-06,0.00038476065517322746,0.0003857213609601028,-9.607057868753319e-07,0.01
